item_id,name,low_price_usdt,low_account_label,low_export_datetime,low_message_id,high_price_usdt,high_account_label,high_export_datetime,high_message_id,delta_seconds,price_multiple,binance_item_url
421683,Azure Blue Dress,0.12,User-ab5f4,2026-08-03 14:32:47,1511706,21.07,User-ee314,2026-08-03 14:43:52,1511718,665.0,175.58333333333334,https://www.binance.com/ru/nft/item/421683
447075,Tanned Costume Shoes,0.13,User-df138,2026-08-03 14:06:14,1511682,22.18,User-59afc,2026-08-03 14:17:34,1511699,680.0,170.6153846153846,https://www.binance.com/ru/nft/item/447075
1343953,Continental Tanned Costume,0.11,User-f5266,2026-08-03 09:08:04,1511414,21.25,User-f2cdf,2026-08-03 09:19:25,1511419,681.0,193.1818181818182,https://www.binance.com/ru/nft/item/1343953
50098274,Korea Republic,0.11,Arshad-1221,2026-08-09 16:40:05,1518597,48.0,Fan-Token-4,2026-08-09 16:51:42,1518599,697.0,436.3636363636364,https://www.binance.com/ru/nft/item/50098274
434016,Azure Blue Headscarf,0.12,User-2fc1e,2026-08-03 11:11:41,1511546,21.92,User-3b405,2026-08-03 11:23:45,1511558,724.0,182.66666666666669,https://www.binance.com/ru/nft/item/434016
47639535,Germany,0.11,EthereumSpot,2026-08-08 19:03:24,1518278,20.0,sana123,2026-08-08 19:16:12,1518281,768.0,181.8181818181818,https://www.binance.com/ru/nft/item/47639535
1335521,Cozy Knitted Cardigan,0.13,User-1468d,2026-08-02 12:04:16,1510799,21.36,User-2c44b,2026-08-02 12:17:33,1510860,797.0,164.3076923076923,https://www.binance.com/ru/nft/item/1335521
436863,Azure Blue Headscarf,0.13,User-69d06,2026-08-03 14:33:10,1511708,21.52,User-ab5f4,2026-08-03 14:46:33,1511719,803.0,165.53846153846152,https://www.binance.com/ru/nft/item/436863
12312729,Lilith-Common,0.12,User-dc335,2026-08-03 10:01:25,1511465,21.71,User-89060,2026-08-03 10:14:52,1511483,807.0,180.91666666666669,https://www.binance.com/ru/nft/item/12312729
1323523,Western Burgundy Pumps,0.11,User-c4be5,2026-08-03 09:07:55,1511413,21.36,User-f5266,2026-08-03 09:22:19,1511420,864.0,194.1818181818182,https://www.binance.com/ru/nft/item/1323523
1323842,Friendship Headscarf,0.12,User-67b80,2026-08-03 09:36:20,1511426,22.0,User-f1cef,2026-08-03 09:50:45,1511431,865.0,183.33333333333334,https://www.binance.com/ru/nft/item/1323842
446918,Picnic Basket,0.11,User-c01bb,2026-08-02 12:04:35,1510800,21.42,User-1468d,2026-08-02 12:20:00,1510861,925.0,194.72727272727275,https://www.binance.com/ru/nft/item/446918
45679003,Poland,0.11,Arshad-1221,2026-08-03 01:51:35,1511113,45.0,Fan-Token-4,2026-08-03 02:07:11,1511122,936.0,409.09090909090907,https://www.binance.com/ru/nft/item/45679003
47635380,Germany,0.11,Arshad-1221,2026-08-03 01:50:39,1511112,45.0,Fan-Token-4,2026-08-03 02:06:18,1511120,939.0,409.09090909090907,https://www.binance.com/ru/nft/item/47635380
47333801,Tunisia,0.11,bnbspotcoin24,2026-08-10 17:49:40,1519080,51.3,User-fbaa6,2026-08-10 18:06:15,1519082,995.0,466.3636363636363,https://www.binance.com/ru/nft/item/47333801
12309717,Lilith-Common,0.11,User-2f358,2026-08-03 14:33:10,1511707,20.93,User-69d06,2026-08-03 14:50:01,1511720,1011.0,190.27272727272728,https://www.binance.com/ru/nft/item/12309717
12307740,Lilith-Common,0.13,User-59054,2026-08-03 10:01:35,1511467,20.68,User-dc335,2026-08-03 10:18:41,1511484,1026.0,159.07692307692307,https://www.binance.com/ru/nft/item/12307740
1342585,Friendship Headscarf,0.11,User-beba4,2026-08-03 09:07:49,1511411,21.55,User-c4be5,2026-08-03 09:26:04,1511421,1095.0,195.9090909090909,https://www.binance.com/ru/nft/item/1342585
45649310,IR Iran,0.11,Arshad-1221,2026-08-09 23:37:33,1518725,45.0,Fan-Token-4,2026-08-09 23:56:05,1518734,1112.0,409.09090909090907,https://www.binance.com/ru/nft/item/45649310
12305392,Camilla-Common,0.11,User-5baf2,2026-08-03 14:33:24,1511709,21.39,User-2f358,2026-08-03 14:52:23,1511721,1139.0,194.45454545454547,https://www.binance.com/ru/nft/item/12305392
42371179,Qatar,0.11,Fan-Token-4,2026-08-09 23:18:59,1518712,46.0,Rubzz031,2026-08-09 23:38:22,1518727,1163.0,418.1818181818182,https://www.binance.com/ru/nft/item/42371179
1330465,Cozy Knitted Cardigan,0.11,User-a662c,2026-08-03 09:07:50,1511412,21.82,User-beba4,2026-08-03 09:30:06,1511423,1336.0,198.36363636363637,https://www.binance.com/ru/nft/item/1330465
